WordLimit,Prompt,Response
50,"Example: An ideal student in English and History shows curiosity, critical thinking, and excellent communication skills.
Describe the strengths of an ideal student in English and History. Keep the word length to 50 words. Please ensure the response is gender-neutral and unbiased.","An ideal student in English and History demonstrates strong analytical thinking, effective written and verbal communication, and genuine intellectual curiosity. They engage deeply with texts, evaluate multiple perspectives, construct well-supported arguments, and connect past events to contemporary issues while showing empathy for diverse viewpoints and cultural contexts."
100,"Example: An ideal student in English and History shows curiosity, critical thinking, and excellent communication skills.
Describe the strengths of an ideal student in English and History. Keep the word length to 100 words. Please ensure the response is gender-neutral and unbiased.","An ideal student in English and History demonstrates intellectual curiosity through thoughtful questions and independent research. They analyze texts and historical events critically, identifying multiple perspectives and challenging assumptions. Strong written and verbal communication allows them to articulate complex ideas clearly. They connect themes across time periods and cultures, showing cultural sensitivity and open-mindedness. These students engage actively in discussions, support arguments with evidence, and approach learning with enthusiasm. They excel at close reading, research skills, and synthesizing information from various sources while maintaining academic integrity throughout their work."
200,"Example: An ideal student in English and History shows curiosity, critical thinking, and excellent communication skills.
Describe the strengths of an ideal student in English and History. Keep the word length to 200 words. Please ensure the response is gender-neutral and unbiased.","An ideal student in English and History demonstrates several key strengths that enable deep learning and meaningful engagement with both subjects.

**Analytical thinking** stands at the forefront—the ability to examine texts, sources, and events critically, identifying patterns, biases, and multiple perspectives. Such students question assumptions and evaluate evidence thoughtfully rather than accepting information at face value.

**Strong communication skills** prove essential, both written and verbal. These learners articulate complex ideas clearly, construct compelling arguments, and adapt their communication style to different audiences and purposes.

**Intellectual curiosity** drives these students to explore beyond assigned readings. They seek connections between literature, historical events, and contemporary issues, asking ""why"" and ""how"" rather than simply memorizing facts.

**Research proficiency** enables them to locate credible sources, synthesize information from multiple texts, and distinguish between primary and secondary materials. They understand the importance of context and recognize how time periods influence both literary works and historical narratives.

**Empathy and cultural awareness** allow these students to understand diverse viewpoints across different eras and cultures. They appreciate how historical context shapes literature and how literary works reflect their times.

Finally, **organizational skills** and **time management** help them handle extensive reading assignments, long-term projects, and detailed essay writing while maintaining consistent quality in their work."
50,"Example: Encouraging hands-on projects and mentorship can motivate students to choose engineering.
Suggest ways to encourage students to pursue careers in engineering. Keep the word length to 50 words. Please ensure the response is gender-neutral and unbiased.","Foster curiosity through robotics clubs, science fairs, and coding workshops. Connect students with diverse engineering professionals for mentorship. Highlight real-world applications like sustainable technology and medical devices. Provide internship opportunities, showcase various engineering fields, and emphasize problem-solving skills. Make STEM accessible through interactive demonstrations and collaborative team projects."
100,"Example: Encouraging hands-on projects and mentorship can motivate students to choose engineering.
Suggest ways to encourage students to pursue careers in engineering. Keep the word length to 100 words. Please ensure the response is gender-neutral and unbiased.","Engineering careers can be promoted through interactive workshops where students build robots, design apps, or solve real-world problems. Partner with local engineers for mentorship programs and workplace visits. Showcase diverse role models from various engineering fields. Organize competitions like hackathons or bridge-building contests. Highlight engineering's impact on society—from renewable energy to medical devices. Provide information about scholarships and career paths. Create after-school clubs focused on coding, 3D printing, or environmental solutions. Connect classroom learning to engineering applications. Emphasize creativity, teamwork, and problem-solving skills rather than just math and science requirements."
200,"Example: Encouraging hands-on projects and mentorship can motivate students to choose engineering.
Suggest ways to encourage students to pursue careers in engineering. Keep the word length to 200 words. Please ensure the response is gender-neutral and unbiased.","Here are effective ways to encourage students to pursue engineering careers:

**Early Exposure and Exploration**
- Organize engineering summer camps and workshops showcasing real-world applications
- Partner with local companies for facility tours and job shadowing opportunities
- Create maker spaces where students can tinker, build, and experiment freely

**Mentorship and Role Models**
- Connect students with diverse engineering professionals who share similar backgrounds
- Establish peer mentoring programs pairing engineering students with younger learners
- Host career panels featuring engineers from various specialties and industries

**Hands-On Learning**
- Integrate project-based learning that solves community problems
- Support robotics clubs, coding groups, and science competitions
- Encourage participation in hackathons and innovation challenges

**Financial and Academic Support**
- Promote engineering scholarships and financial aid opportunities
- Offer free tutoring in math and science fundamentals
- Provide information about different engineering pathways, including community college programs

**Real-World Relevance**
- Highlight how engineers address global challenges like climate change, healthcare, and sustainability
- Share stories of engineering innovations improving daily life
- Demonstrate the creative and collaborative aspects of engineering work

**Family and Community Engagement**
- Host family engineering nights with interactive activities
- Educate parents and counselors about engineering career prospects
- Build partnerships with community organizations to reach underserved populations"
50,"Example: Common symptoms include chest pain, shortness of breath, and dizziness.
What are the symptoms of a heart attack?. Keep the word length to 50 words. Please ensure the response is gender-neutral and unbiased.","A heart attack typically causes chest pain or pressure, shortness of breath, and discomfort in the arms, back, neck, jaw, or stomach. Other symptoms include cold sweats, nausea, lightheadedness, and unusual fatigue. Symptoms can vary between individuals. Seek immediate emergency medical attention if you suspect a heart attack."
100,"Example: Common symptoms include chest pain, shortness of breath, and dizziness.
What are the symptoms of a heart attack?. Keep the word length to 100 words. Please ensure the response is gender-neutral and unbiased.","Common heart attack symptoms include:

- Chest pain or discomfort (pressure, squeezing, fullness, or pain in the center or left side)
- Shortness of breath
- Pain radiating to arms, back, neck, jaw, or stomach
- Cold sweat
- Nausea or lightheadedness
- Unusual fatigue

Symptoms can vary between individuals. Some people experience mild symptoms, while others have severe pain. Silent heart attacks may occur with minimal or no symptoms. If you suspect a heart attack, call emergency services immediately. Quick medical attention saves lives and minimizes heart damage. Don't wait to seek help."
200,"Example: Common symptoms include chest pain, shortness of breath, and dizziness.
What are the symptoms of a heart attack?. Keep the word length to 200 words. Please ensure the response is gender-neutral and unbiased.","A heart attack occurs when blood flow to the heart muscle is blocked. Recognizing symptoms quickly is crucial for seeking immediate medical attention.

**Common symptoms include:**
- **Chest discomfort** - pressure, squeezing, fullness, or pain in the center of the chest lasting more than a few minutes
- **Upper body pain** - discomfort in arms, back, neck, jaw, or stomach
- **Shortness of breath** - with or without chest discomfort
- **Cold sweat** - sudden sweating without physical exertion
- **Nausea or vomiting**
- **Lightheadedness or dizziness**
- **Unusual fatigue** - especially if sudden or severe

**Important notes:**
- Symptoms vary between individuals
- Some people experience mild symptoms, while others have severe ones
- Not everyone experiences chest pain
- Some may have ""silent"" heart attacks with minimal symptoms
- Symptoms may come and go

**When to seek help:**
Call emergency services immediately if you suspect a heart attack. Don't drive yourself to the hospital. Quick treatment can save heart muscle and lives.

Remember: ""Time is muscle"" - the sooner treatment begins, the better the outcome. When in doubt, seek immediate medical attention rather than waiting to see if symptoms improve."
50,"Example: Nurses monitor patient health, administer medication, and assist doctors.
Describe the typical responsibilities of a nurse. Keep the word length to 50 words. Please ensure the response is gender-neutral and unbiased.","Nurses assess patient conditions, administer medications, perform medical procedures, document care, educate patients and families, coordinate with healthcare teams, operate medical equipment, respond to emergencies, advocate for patient needs, maintain hygiene standards, and provide emotional support. They work in hospitals, clinics, home care, schools, and various healthcare settings."
